Date,LTP,Open,High,Low,Quantity,Score
11/19/2012,307.362366,300.555542,308.153168,300.300293,6144600,0
11/21/2012,300.700714,307.027039,307.212219,298.298309,6097600,-0.296
11/22/2012,305.035034,301.126129,305.105103,298.858856,6349800,0.4215
12/05/2012,302.132141,304.884888,306.266266,299.734741,3778800,0.3612
12/07/2012,296.061066,300.800812,301.166168,294.434448,7156600,-0.4767
12/10/2012,297.467468,298.203217,299.864868,294.454468,5206100,-0.051033333
12/13/2012,294.409424,294.374359,296.246246,292.057068,3809500,0
12/23/2012,290.720734,294.654663,295.295288,289.789795,5930600,0
1/03/2013,285.775787,286.181183,286.611603,284.459473,6109600,0
1/04/2013,289.584595,285.395386,290.535522,285.290283,4860500,-0.0996
1/05/2013,285.490479,288.013,289.35434,283.518524,4675100,0
1/07/2013,290.575562,288.528534,291.276276,287.092102,4187400,0.11595
1/09/2013,289.404419,294.094086,294.239227,288.91391,3513400,0
1/10/2013,290.515503,288.213226,290.790802,287.577576,2817900,0
1/15/2013,284.534546,292.3974,292.952942,283.628632,5316800,0
1/22/2013,282.832825,285.170166,285.435425,279.56958,6441900,-0.11315
1/23/2013,280.825836,281.141144,283.783783,279.619629,3904400,0
